name,name_clean,cluster
 Aa0en0Hunze ,Aa en Hunze,2
 Aalburg ,Aalburg,2
 Aalsmeer ,Aalsmeer,1
 Aalten ,Aalten,0
 Achtkarspelen ,Achtkarspelen,2
 Alblasserdam ,Alblasserdam,1
 Albrandswaard ,Albrandswaard,1
 Alkmaar ,Alkmaar,0
 Almelo ,Almelo,0
 Almere ,Almere,2
 Alphen0Chaam ,Alphen Chaam,0
 Alphen0aan0den0Rijn ,Alphen aan den Rijn,1
 Amersfoort ,Amersfoort,2
 Amstelveen ,Amstelveen,1
 Amsterdam ,Amsterdam,1
 Apeldoorn ,Apeldoorn,2
 Appingedam ,Appingedam,2
 Arnhem ,Arnhem,2
 Assen ,Assen,1
 Asten ,Asten,2
 Baarn ,Baarn,2
 Barendrecht ,Barendrecht,1
 Barneveld ,Barneveld,1
 Bedum ,Bedum,2
 Beek0L ,Beek L,2
 Beemster ,Beemster,1
 Beesel ,Beesel,2
 Bellingwedde ,Bellingwedde,0
 Bergambacht ,Bergambacht,1
 Bergeijk ,Bergeijk,2
 Bergen0L ,Bergen L,2
 Bergen0NH ,Bergen NH,1
 Bergen0op0Zoom ,Bergen op Zoom,1
 Berkelland ,Berkelland,2
 Bernheze ,Bernheze,2
 Bernisse ,Bernisse,1
 Best ,Best,2
 Beuningen ,Beuningen,2
 Beverwijk ,Beverwijk,1
 Binnenmaas ,Binnenmaas,1
 Bladel ,Bladel,2
 Blaricum ,Blaricum,1
 Bloemendaal ,Bloemendaal,1
 Boarnsterhim ,Boarnsterhim,2
 Bodegraven0Reeuwijk ,Bodegraven Reeuwijk,1
 Boekel ,Boekel,2
 Borger0Odoorn ,Borger Odoorn,2
 Borne ,Borne,2
 Borsele ,Borsele,1
 Boskoop ,Boskoop,2
 Boxmeer ,Boxmeer,2
 Boxtel ,Boxtel,2
 Breda ,Breda,2
 Brielle ,Brielle,1
 Bronckhorst ,Bronckhorst,2
 Brummen ,Brummen,2
 Brunssum ,Brunssum,2
 Bunnik ,Bunnik,1
 Bunschoten ,Bunschoten,1
 Buren ,Buren,0
 Bussum ,Bussum,1
 Capelle0aan0den0IJssel ,Capelle aan den IJssel,1
 Castricum ,Castricum,1
 Coevorden ,Coevorden,2
 Cranendonck ,Cranendonck,2
 Cromstrijen ,Cromstrijen,1
 Cuijk ,Cuijk,2
 Culemborg ,Culemborg,1
 Dalfsen ,Dalfsen,2
 Dantumadiel ,Dantumadiel,2
 De0Bilt ,De Bilt,1
 De0Marne ,De Marne,2
 De0Ronde0Venen ,De Ronde Venen,1
 De0Wolden ,De Wolden,2
 Delft ,Delft,0
 Delfzijl ,Delfzijl,2
 Den0Helder ,Den Helder,1
 Deurne ,Deurne,2
 Deventer ,Deventer,0
 Diemen ,Diemen,1
 Dinkelland ,Dinkelland,2
 Doesburg ,Doesburg,2
 Doetinchem ,Doetinchem,0
 Dongen ,Dongen,2
 Dongeradeel ,Dongeradeel,2
 Dordrecht ,Dordrecht,0
 Drechterland ,Drechterland,1
 Drimmelen ,Drimmelen,2
 Dronten ,Dronten,1
 Druten ,Druten,0
 Duiven ,Duiven,0
 Echt0Susteren ,Echt Susteren,2
 Edam0VolendamENZeevang ,Edam VolendamENZeevang,1
 Ede ,Ede,0
 Eemnes ,Eemnes,1
 Eemsmond ,Eemsmond,2
 Eersel ,Eersel,2
 Eijsden0Margraten ,Eijsden Margraten,2
 Eindhoven ,Eindhoven,2
 Elburg ,Elburg,2
 Emmen ,Emmen,0
 Enkhuizen ,Enkhuizen,1
 Enschede ,Enschede,2
 Epe ,Epe,2
 Ermelo ,Ermelo,2
 Etten0Leur ,Etten Leur,0
 Ferwerderadiel ,Ferwerderadiel,2
 Franekeradeel ,Franekeradeel,2
 Gaasterlan0Sleat ,Gaasterlan Sleat,2
 Geertruidenberg ,Geertruidenberg,1
 Geldermalsen ,Geldermalsen,1
 Geldrop0Mierlo ,Geldrop Mierlo,2
 Gemert0Bakel ,Gemert Bakel,2
 Gennep ,Gennep,2
 Giessenlanden ,Giessenlanden,2
 Gilze0en0RijenENBaarleNassau ,Gilze en RijenENBaarleNassau,1
 Goeree0Overflakkee ,Goeree Overflakkee,0
 Goes ,Goes,1
 Goirle ,Goirle,2
 Gorinchem ,Gorinchem,1
 Gouda ,Gouda,0
 Graft0De0RijpENSchermer ,Graft De RijpENSchermer,2
 Grave ,Grave,2
 Groesbeek ,Groesbeek,2
 Groningen0gemeente ,Groningen gemeente,2
