Municipality_code,Municipality_name,cluster
GM0014,Groningen,1
GM0034,Almere,2
GM0037,Stadskanaal,2
GM0047,Veendam,2
GM0050,Zeewolde,2
GM0059,Achtkarspelen,2
GM0060,Ameland,1
GM0072,Harlingen,0
GM0074,Heerenveen,0
GM0080,Leeuwarden,0
GM0085,Ooststellingwerf,0
GM0086,Opsterland,2
GM0088,Schiermonnikoog,2
GM0090,Smallingerland,0
GM0093,Terschelling,1
GM0096,Vlieland,1
GM0098,Weststellingwerf,0
GM0106,Assen,0
GM0109,Coevorden,2
GM0114,Emmen,0
GM0118,Hoogeveen,2
GM0119,Meppel,2
GM0141,Almelo,1
GM0147,Borne,2
GM0148,Dalfsen,0
GM0150,Deventer,1
GM0153,Enschede,1
GM0158,Haaksbergen,2
GM0160,Hardenberg,2
GM0163,Hellendoorn,2
GM0164,Hengelo,1
GM0166,Kampen,2
GM0168,Losser,2
GM0171,Noordoostpolder,2
GM0173,Oldenzaal,1
GM0175,Ommen,2
GM0177,Raalte,2
GM0180,Staphorst,2
GM0183,Tubbergen,1
GM0184,Urk,2
GM0189,Wierden,2
GM0193,Zwolle,0
GM0197,Aalten,0
GM0200,Apeldoorn,1
GM0202,Arnhem,1
GM0203,Barneveld,2
GM0209,Beuningen,0
GM0213,Brummen,1
GM0214,Buren,0
GM0216,Culemborg,1
GM0221,Doesburg,1
GM0222,Doetinchem,0
GM0225,Druten,2
GM0226,Duiven,1
GM0228,Ede,2
GM0230,Elburg,2
GM0232,Epe,2
GM0233,Ermelo,2
GM0243,Harderwijk,2
GM0244,Hattem,0
GM0246,Heerde,0
GM0252,Heumen,1
GM0262,Lochem,1
GM0263,Maasdriel,0
GM0267,Nijkerk,2
GM0268,Nijmegen,1
GM0269,Oldebroek,2
GM0273,Putten,2
GM0274,Renkum,1
GM0275,Rheden,2
GM0277,Rozendaal,2
GM0279,Scherpenzeel,2
GM0281,Tiel,0
GM0285,Voorst,2
GM0289,Wageningen,1
GM0293,Westervoort,1
GM0294,Winterswijk,1
GM0296,Wijchen,2
GM0297,Zaltbommel,2
GM0299,Zevenaar,0
GM0301,Zutphen,0
GM0302,Nunspeet,2
GM0303,Dronten,2
GM0307,Amersfoort,1
GM0308,Baarn,1
GM0310,De Bilt,1
GM0312,Bunnik,1
GM0313,Bunschoten,2
GM0317,Eemnes,1
GM0321,Houten,1
GM0327,Leusden,1
GM0331,Lopik,0
GM0335,Montfoort,0
GM0339,Renswoude,2
GM0340,Rhenen,2
GM0342,Soest,1
GM0344,Utrecht,1
GM0345,Veenendaal,2
GM0351,Woudenberg,2
GM0352,Wijk bij Duurstede,0
GM0353,IJsselstein,0
GM0355,Zeist,1
GM0356,Nieuwegein,0
GM0358,Aalsmeer,1
GM0361,Alkmaar,0
GM0362,Amstelveen,1
GM0363,Amsterdam,1
GM0373,Bergen (NH.),1
GM0375,Beverwijk,0
GM0376,Blaricum,1
GM0377,Bloemendaal,1
GM0383,Castricum,0
GM0384,Diemen,1
GM0385,Edam-Volendam,0
GM0388,Enkhuizen,2
GM0392,Haarlem,1
GM0394,Haarlemmermeer,1
GM0396,Heemskerk,0
GM0397,Heemstede,1
GM0399,Heiloo,1
GM0400,Den Helder,0
GM0402,Hilversum,1
GM0405,Hoorn,2
GM0406,Huizen,1
GM0415,Landsmeer,1
GM0417,Laren,1
GM0420,Medemblik,2
GM0431,Oostzaan,1
GM0432,Opmeer,2
GM0437,Ouder-Amstel,1
GM0439,Purmerend,0
GM0441,Schagen,0
GM0448,Texel,1
GM0450,Uitgeest,1
GM0451,Uithoorn,1
GM0453,Velsen,0
GM0473,Zandvoort,1
GM0479,Zaanstad,1
GM0482,Alblasserdam,0
GM0484,Alphen aan den Rijn,1
GM0489,Barendrecht,1
GM0498,Drechterland,2
GM0501,Brielle,0
GM0502,Capelle aan den IJssel,0
GM0503,Delft,1
GM0505,Dordrecht,0
GM0512,Gorinchem,1
GM0513,Gouda,0
GM0518,'s-Gravenhage,1
GM0523,Hardinxveld-Giessendam,2
GM0530,Hellevoetsluis,0
GM0531,Hendrik-Ido-Ambacht,0
GM0532,Stede Broec,2
GM0534,Hillegom,1
GM0537,Katwijk,0
GM0542,Krimpen aan den IJssel,1
GM0546,Leiden,1
GM0547,Leiderdorp,1
GM0553,Lisse,1
GM0556,Maassluis,1
GM0569,Nieuwkoop,0
